#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2016/10/1,255.6337033,237.8511217,236.0311896,313.5955204,279.175578,317.0689724,247.8553199,230.5408404,231.3828337,229.2892457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/11/1,140.3021541,130.6343476,130.3310199,161.3551454,151.8883306,171.8413876,140.4907788,127.277479,130.8712911,125.4102268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/1,78.45984663,80.13666862,74.95746164,84.97071705,83.60686739,98.92758697,82.56061178,79.05525707,77.52068113,80.467247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/1/1,96.9889155,85.83892737,82.06533961,118.6156813,108.5870266,138.3724207,96.0957154,80.88025509,83.80792726,83.15321016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/2/1,58.85744299,44.11493968,45.02966377,90.34797794,76.36690286,104.5758616,61.44934912,42.03581048,46.81859862,43.39081384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/3/1,76.53388568,64.85678712,67.57601982,94.11973399,85.89864002,98.72758345,72.84451064,62.3897927,65.82134448,62.27556591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/4/1,74.86244691,66.10625079,69.91169901,83.19979155,79.15343544,88.56551434,74.38426446,64.08753887,69.2872499,62.09826797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,71.0820126,62.73339453,67.21296536,75.97134156,73.51325132,81.65172628,70.91377892,60.56944617,66.8111794,59.17799005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/6/1,60.3609901,48.92916809,54.31127045,64.734996,63.37644386,67.15172448,60.02877253,46.8143407,54.2495427,45.24766137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/7/1,117.2920194,102.9237475,109.6008462,124.4464212,121.0618338,123.3137869,114.4268166,99.47657122,106.5887197,98.19393676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/8/1,150.5661178,134.0368492,139.1898346,186.3516121,166.722088,208.1241428,152.3138726,132.4572104,137.4438491,132.064652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/9/1,178.9838576,170.7989347,173.4696598,193.883904,183.1057773,192.7275793,173.2716127,167.5309328,170.5321619,165.2852588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10/1,119.1436348,102.707321,103.5977118,161.6598102,138.5009797,166.4448428,117.7012139,100.5954948,102.6517303,100.5422861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11/1,104.7697265,95.69732288,96.36296793,121.7456972,114.4187542,129.4241424,105.6800754,94.56824507,97.73816196,93.28024579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/12/1,79.48885484,81.41738185,75.88517126,86.43260449,84.88647589,101.5689641,83.93473233,80.08874133,78.52474623,81.75494119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1/1,57.73552916,50.48172653,48.62601616,71.47725927,65.02780816,83.43448276,57.1927364,47.99737259,49.66880168,49.18111013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/2/1,72.96396581,54.88131188,56.51211929,109.7118405,93.31586859,124.9758603,74.94218316,52.32657924,58.04232884,53.21767996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/3/1,72.15655681,61.21535905,63.89966349,87.04953214,80.0898041,87.69310034,68.09991134,59.16929551,62.29288845,59.01646583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/4/1,137.0020905,119.6922709,127.2066148,153.610598,145.8547404,163.0448431,137.8931124,117.1667492,127.4892354,113.9350069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/5/1,30.62165918,25.91357131,28.46474698,32.7178626,31.36368638,32.77931134,28.76042883,25.07890392,27.64903495,24.03396861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/6/1,47.4682722,37.39125091,42.25474611,51.34060194,50.11646885,53.22758428,47.63137967,35.79804915,42.45990971,34.48405672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/7/1,238.388476,211.7998268,223.4352529,261.8995821,250.503759,265.9172372,237.5460875,207.4187743,220.4388229,207.8324251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/8/1,76.89898732,68.16357276,71.44678056,92.54714651,83.45212773,99.51035034,75.87523437,67.26471665,70.02347692,66.28942938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/9/1,231.814702,223.2814367,225.8748267,245.8558688,233.8564318,237.2724207,220.101495,217.5243277,220.2922245,213.5412448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/10/1,70.56415551,60.20172778,61.24457763,95.3248138,81.8523429,97.37586276,69.41843557,59.21148707,60.81951188,59.04055781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/11/1,157.7012695,147.0235711,146.6846633,180.7204582,170.6055158,192.7206959,158.5319446,143.7199696,147.6961904,141.7684585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/12/1,82.57751684,85.63845236,79.13322194,89.85576383,88.38522343,107.5931055,88.28100561,84.2900871,82.19293674,86.47504617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/1/1,59.42431879,52.79612887,50.58677927,72.10373924,66.13435203,82.07931845,58.45856666,50.37988006,51.72667747,51.82374314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/2/1,61.66586509,46.27029767,47.21525383,94.99522523,80.21068743,112.3655208,64.86042911,44.12567509,49.15904373,45.31143851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/3/1,73.78087368,61.9632168,64.82025401,91.54818398,83.48380901,95.80345345,71.14869475,60.14444658,63.83531499,60.23102517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/4/1,92.32856241,80.54863133,85.80322415,103.2017694,98.01172502,110.56207,92.62057615,78.3599829,85.66509498,76.03136496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/5/1,99.0127927,86.05470442,93.16406761,104.0625131,101.0498938,104.5930998,95.81675854,83.59467305,91.94649335,80.89341384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/6/1,77.88803222,65.2013111,71.34474707,81.92814258,80.79498303,83.75862241,77.47951794,62.27192397,71.31016461,60.91715924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/7/1,188.7558031,170.1396313,178.9681349,196.2354129,192.6035998,190.4517317,184.6228099,165.2949738,175.4397855,165.2150794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/8/1,187.6637147,179.8372622,180.175851,223.7547228,201.09166,241.4793134,183.8135071,175.5837113,175.1740359,176.2495672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/9/1,125.7390116,116.4639257,120.0799146,137.3198314,129.6766653,135.8241428,122.0394786,115.0620872,118.5836344,113.450777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/10/1,154.2818907,136.0853588,136.7519566,202.9574342,175.8814605,209.4965486,152.3175922,133.2308647,135.4686058,133.1804211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/11/1,80.75978931,74.04065554,74.29576462,94.25991665,88.96122956,103.8137955,83.51452704,73.45165366,76.29146898,72.86724354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/1,51.24851009,51.7969043,48.81127075,55.72741405,54.89901732,64.41033866,54.42597685,51.89466919,51.0257117,53.13015342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/1,57.73622684,50.81898673,48.83194764,70.99906652,64.85926952,83.4931069,57.29329945,48.48235653,50.01580315,49.80797066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/1,43.76833396,32.45785737,33.10398444,67.89034445,57.11253965,80.41034138,46.34441256,31.21861975,34.88653531,32.39376013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/1,93.78784348,79.32970308,83.09372205,114.7627217,105.0612366,118.7482748,89.63305393,76.73333296,81.05756884,76.26672172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/4/1,160.7169115,141.5385788,149.5341547,180.450048,171.5317913,194.1482831,163.820482,138.5181722,150.7476176,135.3077991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/5/1,85.29049703,74.04631336,80.24720774,90.07986016,87.13953349,91.87586186,82.31377948,71.77560385,78.89288715,69.29636363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/6/1,44.78942832,35.27898741,39.91805163,47.93623999,46.78697057,48.69310269,43.6527024,33.73663555,39.66951245,32.37903021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
