#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2016/10/1,100.3560426,89.65226425,90.51135258,127.6881666,111.8561128,130.5999969,97.79720006,87.52785038,89.16768053,86.73015671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/11/1,134.7573751,124.7692863,124.9493203,153.4461112,145.536149,161.7310407,135.0337962,122.4506774,126.0803371,120.9733114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/1,44.57042447,42.62886694,40.7878822,51.94724967,49.9049075,63.19655217,49.07029589,43.84474267,43.80451962,45.22009898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/1/1,45.80734547,38.90232152,37.99313565,58.16738989,52.51516009,67.47585752,46.07998233,38.01478877,39.59964375,39.18526852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/2/1,34.52431959,24.91631018,26.09398318,54.43946031,45.41875768,64.54138207,36.19441398,24.16163743,27.16666713,24.79549465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/3/1,91.10956849,75.45083339,79.21644392,114.4821381,103.6732834,118.0620717,86.61434717,72.83040542,77.23627967,72.78526667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/4/1,47.82153324,41.76369069,44.40118567,53.00467231,50.32453751,54.7517219,46.84562454,40.47507559,43.88155523,39.06568486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/5/1,131.3470593,116.4637502,124.5720332,139.4590826,135.3212137,148.2275862,130.7808237,112.705706,123.761282,109.8961863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/6/1,78.36098579,63.82381136,70.88576378,83.10954976,81.74274844,84.57585945,77.40325914,60.63235832,70.62352809,58.6986128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/7/1,69.67789664,57.82190723,63.22449284,76.5831799,73.31314049,73.56896345,67.09264597,56.6530796,61.49050064,55.96811488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/8/1,129.005066,119.8682143,122.1365266,154.3774665,138.4757336,162.2689655,124.5822169,117.3338615,118.2313032,117.0064103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
