#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),MEAN(degC),VARIENCE(degC^2),VARIENCE(degC^6),VARIENCE(degC^10),VARIENCE(degC^14),VARIENCE(degC^18),VARIENCE(degC^22),VARIENCE(degC^23),VARIENCE(degC^28),VARIENCE(degC^31),VARIENCE(degC^36),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC),STD_DEV(degC)
0000-01-01,-6.295,-4.6125,-5.828571429,-7.4,-6.791304348,-8.981818182,-5.508333333,-5.4125,-5.095238095,-4.30625,0.063657895,0.04375,0.06989011,0.172941176,0.094466403,0.263636364,0.060833333,0.0945,0.03647619,0.043291667,0.063657895,0.04375,0.06989011,0.172941176,0.094466403,0.263636364,0.060833333,0.0945,0.03647619,0.043291667
0000-02-01,-5.51,-3.741666667,-5.028571429,-6.805555556,-6.12173913,-8.9,-4.816666667,-4.65,-4.252380952,-3.39375,0.092526316,0.052971014,0.082197802,0.424084967,0.176324111,0.416,0.09969697,0.125333333,0.040619048,0.043291667,0.092526316,0.052971014,0.082197802,0.424084967,0.176324111,0.416,0.09969697,0.125333333,0.040619048,0.043291667
0000-03-01,-1.785,0.370833333,-1.164285714,-3.072222222,-2.37826087,-5.181818182,-0.875,-0.5875,-0.29047619,0.84375,0.098184211,0.056068841,0.09478022,0.404477124,0.129960474,0.407636364,0.109318182,0.133166667,0.041904762,0.050625,0.098184211,0.056068841,0.09478022,0.404477124,0.129960474,0.407636364,0.109318182,0.133166667,0.041904762,0.050625
0000-04-01,5.97,8.229166667,6.642857143,4.7,5.42173913,2.681818182,7.025,7.35625,7.547619048,8.8375,0.147473684,0.060416667,0.087252747,0.308235294,0.151778656,0.403636364,0.131136364,0.142625,0.051619048,0.041166667,0.147473684,0.060416667,0.087252747,0.308235294,0.151778656,0.403636364,0.131136364,0.142625,0.051619048,0.041166667
0000-05-01,13,15.24583333,13.68571429,11.80555556,12.51304348,9.890909091,14.11666667,14.3875,14.59047619,15.825,0.2,0.075634058,0.087472527,0.254673203,0.181185771,0.392909091,0.161515152,0.1505,0.065904762,0.05,0.2,0.075634058,0.087472527,0.254673203,0.181185771,0.392909091,0.161515152,0.1505,0.065904762,0.05
0000-06-01,17.755,19.90833333,18.4,16.72777778,17.34347826,15.04545455,18.875,19.18125,19.3,20.5,0.244710526,0.092971014,0.103076923,0.173888889,0.198023715,0.296727273,0.185681818,0.126958333,0.069,0.053333333,0.244710526,0.092971014,0.103076923,0.173888889,0.198023715,0.296727273,0.185681818,0.126958333,0.069,0.053333333
0000-07-01,20.945,23.0625,21.6,19.98333333,20.55217391,18.38181818,22.04166667,22.39375,22.46190476,23.6625,0.257342105,0.101576087,0.101538462,0.159117647,0.224426877,0.273636364,0.184469697,0.115291667,0.07747619,0.063833333,0.257342105,0.101576087,0.101538462,0.159117647,0.224426877,0.273636364,0.184469697,0.115291667,0.07747619,0.063833333
0000-08-01,21.835,24.02916667,22.49285714,20.62777778,21.35652174,18.7,22.94166667,23.175,23.42857143,24.54375,0.226605263,0.070851449,0.093021978,0.259771242,0.203478261,0.384,0.142651515,0.151333333,0.058142857,0.051958333,0.226605263,0.070851449,0.093021978,0.259771242,0.203478261,0.384,0.142651515,0.151333333,0.058142857,0.051958333
